id,domain,issue_type,image_path,text_description,location_type,severity,urgency,language,pair_difficulty,confidence_label
00021,Education,Broken classroom furniture,data/raw/images/education/broken_classroom_furniture/broken_classroom_furniture_005.jpg,"Hamare area mein broken classroom furniture ki dikkat hai, colony gate ke paas.",Urban,Low,Low,Hinglish,both_clear,high
00022,Education,Broken classroom furniture,data/raw/images/education/broken_classroom_furniture/broken_classroom_furniture_006.jpg,"Sir/Madam, there is the classroom chairs are broken since for over a week. This is causing a lot of trouble to residents.",Semi-Urban,Medium,Medium,English,both_clear,high
00023,Education,Broken classroom furniture,data/raw/images/education/broken_classroom_furniture/broken_classroom_furniture_007.jpg,Kindly note that there is children have to sit on the floor as furniture is broken. It's affecting a lot of families nearby.,Urban,Medium,High,English,complementary,high
00024,Education,Broken classroom furniture,data/raw/images/education/broken_classroom_furniture/broken_classroom_furniture_008.jpg,Kindly send someone to check this place.,Rural,Medium,Medium,English,vague_text_clear_image,medium
00025,Education,Broken classroom furniture,data/raw/images/education/broken_classroom_furniture/broken_classroom_furniture_009.jpg,"Sir/Madam, panchayat office ke saamne broken classroom furniture ho raha hai, jaldi solve kijiye plz.",Rural,Medium,Medium,Hinglish,complementary,high
00026,Education,Broken classroom furniture,data/raw/images/education/broken_classroom_furniture/broken_classroom_furniture_010.jpg,I want to report most of the desks and benches in the classroom are broken. Nobody from the authorities has visited yet. No one has come to check yet.,Urban,Medium,Low,English,both_clear,high
00027,Education,Broken classroom furniture,data/raw/images/education/broken_classroom_furniture/broken_classroom_furniture_011.jpg,I want to report most of the desks and benches in the classroom are broken.,Rural,High,Medium,English,both_clear,high
00029,Education,Broken classroom furniture,data/raw/images/education/broken_classroom_furniture/broken_classroom_furniture_013.jpg,I want to report the classroom chairs are broken since for over a week. Nobody from the authorities has visited yet.,Rural,Medium,High,English,clear_text_unclear_image,medium
00030,Education,Broken classroom furniture,data/raw/images/education/broken_classroom_furniture/broken_classroom_furniture_014.jpg,There is the classroom chairs are broken since for several days. Many families in the area are affected by this. We have complained before but no action has been taken.,Rural,Medium,High,English,both_clear,high
00031,Education,Lack of classroom facilities,data/raw/images/education/lack_of_classroom_facilities/lack_of_classroom_facilities_000.jpg,"Sir/Madam, gaon ke nazdeek lack of classroom facilities ho raha hai, jaldi solve kijiye plz.",Urban,Medium,High,Hinglish,both_clear,high
00032,Education,Lack of classroom facilities,data/raw/images/education/lack_of_classroom_facilities/lack_of_classroom_facilities_001.jpg,"Sir/Madam, bus stop ke paas lack of classroom facilities ho raha hai, jaldi solve kijiye plz.",Urban,High,High,Hinglish,both_clear,high
00033,Education,Lack of classroom facilities,data/raw/images/education/lack_of_classroom_facilities/lack_of_classroom_facilities_002.jpg,We are facing an issue of lack of classroom facilities beside the main road since last night.,Rural,Low,Low,English,both_clear,high
00034,Education,Lack of classroom facilities,data/raw/images/education/lack_of_classroom_facilities/lack_of_classroom_facilities_003.jpg,Not sure who to contact but this needs attention.,Semi-Urban,High,High,Hinglish,vague_text_clear_image,medium
00035,Education,Lack of classroom facilities,data/raw/images/education/lack_of_classroom_facilities/lack_of_classroom_facilities_004.jpg,We are facing an issue of lack of classroom facilities near the colony gate for the past three days. Nobody from the authorities has visited yet.,Rural,High,High,English,both_clear,high
00037,Education,Lack of classroom facilities,data/raw/images/education/lack_of_classroom_facilities/lack_of_classroom_facilities_006.jpg,"हमें बस स्टॉप के पास lack of classroom facilities की दिक्कत हो रही है, कई दिनों से यह समस्या बनी हुई है।",Semi-Urban,High,High,Hindi,both_clear,high
00038,Education,Lack of classroom facilities,data/raw/images/education/lack_of_classroom_facilities/lack_of_classroom_facilities_007.jpg,"कॉलोनी के गेट के पास की स्थिति बहुत खराब है, यह lack of classroom facilities से जुड़ी समस्या है।",Urban,Low,Medium,Hindi,both_clear,high
00039,Education,Lack of classroom facilities,data/raw/images/education/lack_of_classroom_facilities/lack_of_classroom_facilities_008.jpg,There is a problem related to lack of classroom facilities behind the school. Nobody from the authorities has visited yet.,Urban,Low,Low,English,clear_text_unclear_image,medium
00040,Education,Lack of classroom facilities,data/raw/images/education/lack_of_classroom_facilities/lack_of_classroom_facilities_009.jpg,"Hamare area mein lack of classroom facilities ki dikkat hai, gaon ke nazdeek.",Rural,Medium,High,Hinglish,both_clear,high
00041,Education,Lack of classroom facilities,data/raw/images/education/lack_of_classroom_facilities/lack_of_classroom_facilities_010.jpg,Lack of classroom facilities has been a problem next to the bus stop for the past three days. This needs to be fixed urgently. No one has come to check yet.,Rural,Low,Medium,English,both_clear,high
00042,Education,Lack of classroom facilities,data/raw/images/education/lack_of_classroom_facilities/lack_of_classroom_facilities_011.jpg,"Something is wrong in our area, someone should look into it.",Semi-Urban,Low,Medium,Hindi,vague_text_clear_image,medium
00044,Education,Lack of classroom facilities,data/raw/images/education/lack_of_classroom_facilities/lack_of_classroom_facilities_013.jpg,"हमें मुख्य सड़क के किनारे lack of classroom facilities की दिक्कत हो रही है, कई दिनों से यह समस्या बनी हुई है।",Semi-Urban,Low,Medium,Hindi,both_clear,high
00045,Education,Lack of classroom facilities,data/raw/images/education/lack_of_classroom_facilities/lack_of_classroom_facilities_014.jpg,Lack of classroom facilities has been a problem near the railway station road since yesterday.,Urban,Medium,Medium,English,clear_text_unclear_image,medium
00046,Education,Poor school sanitation,data/raw/images/education/poor_school_sanitation/poor_school_sanitation_000.jpg,"colony gate ke paas poor school sanitation ki problem hai ek hafte se, please jaldi fix karo.",Urban,Medium,Medium,Hinglish,both_clear,high
00047,Education,Poor school sanitation,data/raw/images/education/poor_school_sanitation/poor_school_sanitation_001.jpg,We are facing an issue of poor school sanitation beside the main road for several days. This is right next to the school.,Urban,High,High,English,complementary,high
00048,Education,Poor school sanitation,data/raw/images/education/poor_school_sanitation/poor_school_sanitation_002.jpg,This has been an issue for a while now.,Urban,Medium,High,English,vague_text_clear_image,medium
00049,Education,Poor school sanitation,data/raw/images/education/poor_school_sanitation/poor_school_sanitation_003.jpg,"Something is wrong in our area, someone should look into it.",Rural,Medium,Medium,Hinglish,vague_text_clear_image,medium
00050,Education,Poor school sanitation,data/raw/images/education/poor_school_sanitation/poor_school_sanitation_004.jpg,"Hamare area mein poor school sanitation ki dikkat hai, gaon ke nazdeek.",Rural,Medium,Medium,Hinglish,clear_text_unclear_image,medium
00051,Education,Poor school sanitation,data/raw/images/education/poor_school_sanitation/poor_school_sanitation_005.jpg,"school ke peeche poor school sanitation ki problem hai pichhle teen din se, please jaldi fix karo.",Semi-Urban,Low,Low,Hinglish,complementary,high
00052,Education,Poor school sanitation,data/raw/images/education/poor_school_sanitation/poor_school_sanitation_006.jpg,We are facing an issue of poor school sanitation in front of the panchayat office for two weeks now. Many families in the area are affected by this. We request the concerned department to inspect and resolve this at the earliest.,Urban,High,High,English,both_clear,high
00053,Education,Poor school sanitation,data/raw/images/education/poor_school_sanitation/poor_school_sanitation_007.jpg,"Hamare area mein poor school sanitation ki dikkat hai, main road ke kinare.",Semi-Urban,Medium,Medium,Hinglish,both_clear,high
00054,Education,Poor school sanitation,data/raw/images/education/poor_school_sanitation/poor_school_sanitation_008.jpg,"स्कूल के पीछे poor school sanitation की समस्या है, कृपया जल्द ठीक करें।",Rural,Low,Low,Hindi,both_clear,high
00055,Education,Poor school sanitation,data/raw/images/education/poor_school_sanitation/poor_school_sanitation_009.jpg,"Sir/Madam, bus stop ke paas poor school sanitation ho raha hai, jaldi solve kijiye plz.",Urban,High,High,Hinglish,clear_text_unclear_image,medium
00056,Education,Poor school sanitation,data/raw/images/education/poor_school_sanitation/poor_school_sanitation_010.jpg,"मुख्य सड़क के किनारे की स्थिति बहुत खराब है, यह poor school sanitation से जुड़ी समस्या है।",Semi-Urban,Medium,High,Hindi,both_clear,high
00057,Education,Poor school sanitation,data/raw/images/education/poor_school_sanitation/poor_school_sanitation_011.jpg,Citizens are facing trouble due to poor school sanitation near the market. Children and elderly people use this path daily.,Semi-Urban,High,Medium,English,complementary,high
00058,Education,Poor school sanitation,data/raw/images/education/poor_school_sanitation/poor_school_sanitation_012.jpg,Poor school sanitation has been a problem next to the bus stop for several days.,Urban,Low,Low,English,both_clear,high
00059,Education,Poor school sanitation,data/raw/images/education/poor_school_sanitation/poor_school_sanitation_013.jpg,"bazaar ke paas poor school sanitation ki problem hai pichhle teen din se, please jaldi fix karo.",Urban,Medium,High,Hinglish,complementary,high
00060,Education,Poor school sanitation,data/raw/images/education/poor_school_sanitation/poor_school_sanitation_014.jpg,We are facing an issue of poor school sanitation at the crossing since yesterday. Please fix it soon.,Rural,Low,Low,English,both_clear,high
00061,Education,Damaged school roof,data/raw/images/education/damaged_school_roof/damaged_school_roof_000.jpg,"मुख्य सड़क के किनारे की स्थिति बहुत खराब है, यह damaged school roof से जुड़ी समस्या है।",Urban,Low,Medium,Hindi,both_clear,high
00062,Education,Damaged school roof,data/raw/images/education/damaged_school_roof/damaged_school_roof_001.jpg,This has been an issue for a while now.,Semi-Urban,Low,Low,English,vague_text_clear_image,medium
00063,Education,Damaged school roof,data/raw/images/education/damaged_school_roof/damaged_school_roof_002.jpg,Citizens are facing trouble due to damaged school roof close to our village. Please take action soon.,Rural,Medium,High,English,both_clear,high
00064,Education,Damaged school roof,data/raw/images/education/damaged_school_roof/damaged_school_roof_003.jpg,Citizens are facing trouble due to damaged school roof near the market. Children and elderly people use this path daily.,Urban,High,High,English,complementary,high
00065,Education,Damaged school roof,data/raw/images/education/damaged_school_roof/damaged_school_roof_004.jpg,"हमें हमारे गाँव के नज़दीक damaged school roof की दिक्कत हो रही है, कई दिनों से यह समस्या बनी हुई है।",Urban,Low,Low,Hindi,both_clear,high
00066,Education,Damaged school roof,data/raw/images/education/damaged_school_roof/damaged_school_roof_005.jpg,"बस स्टॉप के पास damaged school roof की समस्या है, कृपया जल्द ठीक करें।",Rural,Low,Medium,Hindi,complementary,high
00067,Education,Damaged school roof,data/raw/images/education/damaged_school_roof/damaged_school_roof_006.jpg,"Something is wrong in our area, someone should look into it.",Semi-Urban,Low,Low,Hindi,vague_text_clear_image,medium
00068,Education,Damaged school roof,data/raw/images/education/damaged_school_roof/damaged_school_roof_007.jpg,Not sure who to contact but this needs attention.,Urban,Low,Low,English,vague_text_clear_image,medium
00069,Education,Damaged school roof,data/raw/images/education/damaged_school_roof/damaged_school_roof_008.jpg,"Hamare area mein damaged school roof ki dikkat hai, main road ke kinare.",Rural,Medium,Medium,Hinglish,clear_text_unclear_image,medium
00070,Education,Damaged school roof,data/raw/images/education/damaged_school_roof/damaged_school_roof_009.jpg,"Sir/Madam, bus stop ke paas damaged school roof ho raha hai, jaldi solve kijiye plz.",Urban,High,High,Hinglish,both_clear,high
00071,Education,Damaged school roof,data/raw/images/education/damaged_school_roof/damaged_school_roof_010.jpg,Citizens are facing trouble due to damaged school roof near the railway station road.,Rural,High,High,English,clear_text_unclear_image,medium
00072,Education,Damaged school roof,data/raw/images/education/damaged_school_roof/damaged_school_roof_011.jpg,We are facing an issue of damaged school roof at the crossing for the past three days. This needs to be fixed urgently.,Semi-Urban,High,Medium,English,both_clear,high
00073,Education,Damaged school roof,data/raw/images/education/damaged_school_roof/damaged_school_roof_012.jpg,"Yeh damaged school roof wali problem colony gate ke paas kal se se hai, koi dekhne nahi aaya abhi tak.",Rural,High,High,Hinglish,both_clear,high
00075,Education,Damaged school roof,data/raw/images/education/damaged_school_roof/damaged_school_roof_014.jpg,Citizens are facing trouble due to damaged school roof near the colony gate. This is causing a lot of trouble to residents. Plz look into this asap.,Rural,High,High,English,both_clear,high
00076,Education,Lack of electricity in school,data/raw/images/education/lack_of_electricity_in_school/lack_of_electricity_in_school_000.jpg,Citizens are facing trouble due to lack of electricity in school outside our house. This is causing a lot of trouble to residents.,Urban,Low,Low,English,both_clear,high
00077,Education,Lack of electricity in school,data/raw/images/education/lack_of_electricity_in_school/lack_of_electricity_in_school_001.jpg,"Hamare area mein lack of electricity in school ki dikkat hai, hamari gali ke paas.",Semi-Urban,Medium,Medium,Hinglish,both_clear,high
00078,Education,Lack of electricity in school,data/raw/images/education/lack_of_electricity_in_school/lack_of_electricity_in_school_002.jpg,मुख्य सड़क के किनारे एक गंभीर समस्या है जिसकी वजह Lack of electricity in school है।,Semi-Urban,Medium,Low,Hindi,both_clear,high
00080,Education,Lack of electricity in school,data/raw/images/education/lack_of_electricity_in_school/lack_of_electricity_in_school_004.jpg,Kindly send someone to check this place.,Urban,Medium,Medium,Hindi,vague_text_clear_image,medium
00081,Education,Lack of electricity in school,data/raw/images/education/lack_of_electricity_in_school/lack_of_electricity_in_school_005.jpg,"Lack of electricity in school has been a problem near the railway station road for two weeks now. This is causing a lot of trouble to residents, especially elderly people and children. It would be great if someone could visit and check the situation.",Semi-Urban,Low,Medium,English,clear_text_unclear_image,medium
00082,Education,Lack of electricity in school,data/raw/images/education/lack_of_electricity_in_school/lack_of_electricity_in_school_006.jpg,"Sir/Madam, panchayat office ke saamne lack of electricity in school ho raha h, jaldi solve kijiye plz.",Urban,Low,Low,Hinglish,both_clear,high
00083,Education,Lack of electricity in school,data/raw/images/education/lack_of_electricity_in_school/lack_of_electricity_in_school_007.jpg,"main road ke kinare lack of electricity in school ki problem hai pichhle teen din se, please jaldi fix karo.",Semi-Urban,Medium,Medium,Hinglish,both_clear,high
00084,Education,Lack of electricity in school,data/raw/images/education/lack_of_electricity_in_school/lack_of_electricity_in_school_008.jpg,There is a problem related to lack of electricity in school near the colony gate. Please take action soon.,Rural,Low,Low,English,both_clear,high
00085,Education,Lack of electricity in school,data/raw/images/education/lack_of_electricity_in_school/lack_of_electricity_in_school_009.jpg,"hamari gali ke paas lack of electricity in school ki problem hai ek mahine se, please jaldi fix karo.",Rural,High,Medium,Hinglish,both_clear,high
00086,Education,Lack of electricity in school,data/raw/images/education/lack_of_electricity_in_school/lack_of_electricity_in_school_010.jpg,There is a problem related to lack of electricity in school near the railway station road. Children and elderly people use this path daily.,Rural,High,High,English,complementary,high
00087,Education,Lack of electricity in school,data/raw/images/education/lack_of_electricity_in_school/lack_of_electricity_in_school_011.jpg,हमारे गाँव के नज़दीक एक गंभीर समस्या है जिसकी वजह Lack of electricity in school है।,Urban,High,High,Hindi,complementary,high
00088,Education,Lack of electricity in school,data/raw/images/education/lack_of_electricity_in_school/lack_of_electricity_in_school_012.jpg,"हमें पंचायत भवन के सामने lack of electricity in school की दिक्कत हो रही है, कई दिनों से यह समस्या बनी हुई है।",Semi-Urban,Medium,Medium,Hindi,both_clear,high
00089,Education,Lack of electricity in school,data/raw/images/education/lack_of_electricity_in_school/lack_of_electricity_in_school_013.jpg,There is a problem related to lack of electricity in school beside the main road. This needs to be fixed urgently.,Semi-Urban,Medium,Medium,English,both_clear,high
00090,Education,Lack of electricity in school,data/raw/images/education/lack_of_electricity_in_school/lack_of_electricity_in_school_014.jpg,There is a problem related to lack of electricity in school next to the bus stop. Please take action soon.,Semi-Urban,Medium,Medium,English,clear_text_unclear_image,medium
00091,Education,Unsafe school surroundings,data/raw/images/education/unsafe_school_surroundings/unsafe_school_surroundings_000.jpg,"Yeh unsafe school surroundings wali problem colony gate ke paas do hafte se se hai, koi dekhne nahi aaya abhi tak.",Rural,Low,Low,Hinglish,both_clear,high
00092,Education,Unsafe school surroundings,data/raw/images/education/unsafe_school_surroundings/unsafe_school_surroundings_001.jpg,There is a problem related to unsafe school surroundings near the railway station road. This is causing a lot of trouble to residents.,Rural,Low,Medium,English,both_clear,high
00093,Education,Unsafe school surroundings,data/raw/images/education/unsafe_school_surroundings/unsafe_school_surroundings_002.jpg,This has been an issue for a while now.,Urban,Medium,Medium,Hindi,vague_text_clear_image,medium
00094,Education,Unsafe school surroundings,data/raw/images/education/unsafe_school_surroundings/unsafe_school_surroundings_003.jpg,मुख्य सड़क के किनारे एक गंभीर समस्या है जिसकी वजह Unsafe school surroundings है।,Semi-Urban,Low,Medium,Hindi,complementary,high
00095,Education,Unsafe school surroundings,data/raw/images/education/unsafe_school_surroundings/unsafe_school_surroundings_004.jpg,There is a problem related to unsafe school surroundings at the crossing.,Urban,Low,Low,English,clear_text_unclear_image,medium
00096,Education,Unsafe school surroundings,data/raw/images/education/unsafe_school_surroundings/unsafe_school_surroundings_005.jpg,"Hamare area mein unsafe school surroundings ki dikkat hai, bus stop ke paas.",Rural,Medium,High,Hinglish,clear_text_unclear_image,medium
00097,Education,Unsafe school surroundings,data/raw/images/education/unsafe_school_surroundings/unsafe_school_surroundings_006.jpg,"Yeh unsafe school surroundings wali problem main road ke kinare pichhle teen din se se hai, koi dekhne nahi aaya abhi tak.",Rural,Low,Low,Hinglish,both_clear,high
00098,Education,Unsafe school surroundings,data/raw/images/education/unsafe_school_surroundings/unsafe_school_surroundings_007.jpg,"Citizens are facing trouble due to unsafe school surroundings near the market. Also, this has gotten worse since last week.",Rural,Low,Low,English,complementary,high
00099,Education,Unsafe school surroundings,data/raw/images/education/unsafe_school_surroundings/unsafe_school_surroundings_008.jpg,Unsafe school surroundings has been a problem near our street for almost a month.,Rural,Low,Low,English,both_clear,high
00100,Education,Unsafe school surroundings,data/raw/images/education/unsafe_school_surroundings/unsafe_school_surroundings_009.jpg,"There is some problem here, please check when possible.",Rural,Medium,High,English,vague_text_clear_image,medium
00101,Education,Unsafe school surroundings,data/raw/images/education/unsafe_school_surroundings/unsafe_school_surroundings_010.jpg,We are facing an issue of unsafe school surroundings near the market since yesterday. Please take action soon.,Urban,High,High,English,both_clear,high
00102,Education,Unsafe school surroundings,data/raw/images/education/unsafe_school_surroundings/unsafe_school_surroundings_011.jpg,We are facing an issue of unsafe school surroundings beside the main road for over a week. Please take action soon.,Semi-Urban,Low,Low,English,both_clear,high
00103,Education,Unsafe school surroundings,data/raw/images/education/unsafe_school_surroundings/unsafe_school_surroundings_012.jpg,We are facing an issue of unsafe school surroundings near our street since yesterday. Nobody from the authorities has visited yet. No one has come to check yet.,Semi-Urban,Medium,High,English,both_clear,high
00104,Education,Unsafe school surroundings,data/raw/images/education/unsafe_school_surroundings/unsafe_school_surroundings_013.jpg,Unsafe school surroundings has been a problem near the colony gate for several days. This needs to be fixed urgently.,Rural,Low,Medium,English,both_clear,high
00105,Education,Unsafe school surroundings,data/raw/images/education/unsafe_school_surroundings/unsafe_school_surroundings_014.jpg,"बस स्टॉप के पास की स्थिति बहुत खराब है, यह unsafe school surroundings से जुड़ी समस्या है।",Semi-Urban,Low,Low,Hindi,clear_text_unclear_image,medium
00106,Education,Missing educational infrastructure,data/raw/images/education/missing_educational_infrastructure/missing_educational_infrastructure_000.jpg,We are facing an issue of missing educational infrastructure behind the school for almost a month. Please take action soon.,Rural,Medium,Low,English,both_clear,high
00107,Education,Missing educational infrastructure,data/raw/images/education/missing_educational_infrastructure/missing_educational_infrastructure_001.jpg,"There is some problem here, please check when possible.",Semi-Urban,High,High,English,vague_text_clear_image,medium
00108,Education,Missing educational infrastructure,data/raw/images/education/missing_educational_infrastructure/missing_educational_infrastructure_002.jpg,We are facing an issue of missing educational infrastructure near our street for two weeks now. Nobody from the authorities has visited yet. Plz look into this asap.,Rural,Low,Low,English,both_clear,high
00109,Education,Missing educational infrastructure,data/raw/images/education/missing_educational_infrastructure/missing_educational_infrastructure_003.jpg,Citizens are facing trouble due to missing educational infrastructure near the market. This is causing a lot of trouble to residents.,Urban,Low,Low,English,both_clear,high
00110,Education,Missing educational infrastructure,data/raw/images/education/missing_educational_infrastructure/missing_educational_infrastructure_004.jpg,Citizens are facing trouble due to missing educational infrastructure beside the main road. Children and elderly people use this path daily.,Rural,High,High,English,complementary,high
00111,Education,Missing educational infrastructure,data/raw/images/education/missing_educational_infrastructure/missing_educational_infrastructure_005.jpg,"Sir/Madam, panchayat office ke saamne missing educational infrastructure ho raha hai, jaldi solve kijiye plz.",Semi-Urban,Medium,High,Hinglish,complementary,high
00112,Education,Missing educational infrastructure,data/raw/images/education/missing_educational_infrastructure/missing_educational_infrastructure_006.jpg,Not sure who to contact but this needs attention.,Semi-Urban,Low,Medium,English,vague_text_clear_image,medium
00113,Education,Missing educational infrastructure,data/raw/images/education/missing_educational_infrastructure/missing_educational_infrastructure_007.jpg,Kindly send someone to check this place.,Rural,High,High,Hindi,vague_text_clear_image,medium
00114,Education,Missing educational infrastructure,data/raw/images/education/missing_educational_infrastructure/missing_educational_infrastructure_008.jpg,Missing educational infrastructure has been a problem close to our village for the past three days. Many families in the area are affected by this. It would be great if someone could visit and check the situation.,Urban,Medium,Low,English,both_clear,high
00115,Education,Missing educational infrastructure,data/raw/images/education/missing_educational_infrastructure/missing_educational_infrastructure_009.jpg,Citizens are facing trouble due to missing educational infrastructure at the crossing. Nobody from the authorities has visited yet.,Semi-Urban,High,High,English,both_clear,high
00116,Education,Missing educational infrastructure,data/raw/images/education/missing_educational_infrastructure/missing_educational_infrastructure_010.jpg,"हमें हमारे गाँव के नज़दीक missing educational infrastructure की दिक्कत हो रही है, कई दिनों से यह समस्या बनी हुई है।",Urban,Low,Low,Hindi,both_clear,high
00118,Education,Missing educational infrastructure,data/raw/images/education/missing_educational_infrastructure/missing_educational_infrastructure_012.jpg,"Hamare area mein missing educational infrastructure ki dikkat hai, main road ke kinare.",Semi-Urban,Medium,Low,Hinglish,both_clear,high
00119,Education,Missing educational infrastructure,data/raw/images/education/missing_educational_infrastructure/missing_educational_infrastructure_013.jpg,"bus stop ke paas missing educational infrastructure ki problem hai pichhle teen din se, please jaldi fix karo.",Semi-Urban,Medium,Medium,Hinglish,both_clear,high
00120,Education,Missing educational infrastructure,data/raw/images/education/missing_educational_infrastructure/missing_educational_infrastructure_014.jpg,Missing educational infrastructure has been a problem near the railway station road for over a week. Please take action soon.,Rural,High,High,English,both_clear,high
00121,Healthcare,Damaged health centre,data/raw/images/healthcare/damaged_health_centre/damaged_health_centre_000.jpg,"मुख्य सड़क के किनारे damaged health centre की समस्या है, कृपया जल्द ठीक करें।",Rural,High,High,Hindi,clear_text_unclear_image,medium
00122,Healthcare,Damaged health centre,data/raw/images/healthcare/damaged_health_centre/damaged_health_centre_001.jpg,"bazaar ke paas damaged health centre ki problem hai kal se, please jaldi fix karo.",Semi-Urban,Medium,High,Hinglish,both_clear,high
00123,Healthcare,Damaged health centre,data/raw/images/healthcare/damaged_health_centre/damaged_health_centre_002.jpg,"Something is wrong in our area, someone should look into it.",Urban,Medium,Medium,Hinglish,vague_text_clear_image,medium
00124,Healthcare,Damaged health centre,data/raw/images/healthcare/damaged_health_centre/damaged_health_centre_003.jpg,"कॉलोनी के गेट के पास damaged health centre की समस्या है, कृपया जल्द ठीक करें।",Urban,Low,Low,Hindi,complementary,high
00125,Healthcare,Damaged health centre,data/raw/images/healthcare/damaged_health_centre/damaged_health_centre_004.jpg,"Hamare area mein damaged health centre ki dikkat h, panchayat office ke saamne.",Semi-Urban,Medium,High,Hinglish,both_clear,high
00126,Healthcare,Damaged health centre,data/raw/images/healthcare/damaged_health_centre/damaged_health_centre_005.jpg,स्कूल के पीछे एक गंभीर समस्या है जिसकी वजह Damaged health centre है।,Semi-Urban,Low,Low,Hindi,both_clear,high
00127,Healthcare,Damaged health centre,data/raw/images/healthcare/damaged_health_centre/damaged_health_centre_006.jpg,"There is the primary health centre in front of the panchayat office has a damaged roof. Also, this has gotten worse since last week.",Rural,Medium,Medium,English,complementary,high
00128,Healthcare,Damaged health centre,data/raw/images/healthcare/damaged_health_centre/damaged_health_centre_007.jpg,"Just reporting that tehre is teh health centre building at teh crossing is in very poor condition. This is causing a lot of trouble to residents, especially elderly people and children. We have complained before but no action has been taken.",Semi-Urban,Medium,Low,English,both_clear,high
